fecha_val,vencimiento,dias_a_venc,tipo,strike,precio,delta,imp_vol_pct
2025-12-18,2026-06-18,182,call,1.1677,0.02813,0.64,5.8
2025-12-18,2026-06-18,182,put,1.1853,0.01957,-0.49,5.87
2025-12-18,2026-06-18,182,call,1.1853,0.01876,0.5,5.87
2025-12-18,2026-06-18,182,put,1.205,0.03177,-0.64,6.09
2025-12-18,2026-06-18,182,call,1.205,0.01158,0.35,6.09
2025-12-18,2026-06-18,182,put,1.2219,0.04443,-0.74,6.35
2025-12-18,2026-06-18,182,call,1.2219,0.00768,0.25,6.35
2025-12-18,2026-06-18,182,put,1.2671,0.08342,-0.89,7.24
2025-12-18,2026-06-18,182,call,1.2671,0.00271,0.1,7.24
2025-12-18,2026-12-18,365,put,1.0956,0.00397,-0.1,6.95
2025-12-18,2026-12-18,365,call,1.0956,0.09802,0.88,6.95
2025-12-18,2026-12-18,365,put,1.1474,0.01171,-0.25,6.36
2025-12-18,2026-12-18,365,call,1.1474,0.05581,0.73,6.36
2025-12-18,2026-12-18,365,put,1.1691,0.01841,-0.35,6.29
2025-12-18,2026-12-18,365,call,1.1691,0.04155,0.63,6.29
2025-12-18,2026-12-18,365,put,1.1947,0.02992,-0.49,6.36
2025-12-18,2026-12-18,365,call,1.1947,0.02833,0.49,6.36
2025-12-18,2026-12-18,365,put,1.2257,0.04899,-0.64,6.61
2025-12-18,2026-12-18,365,call,1.2257,0.01749,0.35,6.61
2025-12-18,2026-12-18,365,put,1.2527,0.06922,-0.74,6.98
2025-12-18,2026-12-18,365,call,1.2527,0.01165,0.25,6.98
2025-12-18,2026-12-18,365,put,1.3266,0.03235,-0.88,8.05
2025-12-18,2026-12-18,365,call,1.3266,0.00426,0.1,8.05

